sentence1,sentence2,label,ticket_id,issue_category,ground_truth_primary_issue_category,ground_truth_resolution_state
Cannot open department shared drive due to permission denied,"Cause: Account missing required security group. Fix: Added security group, restored access.",1.0,TDX-10002,permission_issue,permission_issue,resolved
Cannot open department shared drive due to permission denied,Cause: Outdated client profile. Fix: Updated the profile and reconnected.,0.0,TDX-10002,permission_issue,permission_issue,resolved
Cannot open department shared drive project folder,"Cause: Security group not applied. Fix: Applied required security group, restored access.",1.0,TDX-10003,permission_issue,permission_issue,resolved
Cannot open department shared drive project folder,"Cause: Outdated VPN profile. Fix: Updated profile and reconnected with it, successfully connected.",0.0,TDX-10003,permission_issue,permission_issue,resolved
Account locked during sign-in attempt.,Cause: Account was locked. Fix: Account unlocked by IT support.,1.0,TDX-10004,account_locked,account_locked,resolved
Account locked during sign-in attempt.,Cause: Local Outlook profile issues. Fix: Clear cached credentials and sign in again.,0.0,TDX-10004,account_locked,account_locked,resolved
Cannot access email from desktop Outlook app,Cause: Stale local credentials in Outlook. Fix: Clear cached credentials and sign in again.,1.0,TDX-10005,email_issue,email_issue,resolved
Cannot access email from desktop Outlook app,"Cause: Outdated VPN profile. Fix: Updated profile and reconnected with it, successfully connected.",0.0,TDX-10005,email_issue,email_issue,resolved
Cannot open project folder in department shared drive,"Cause: Account missing required security group. Fix: Added security group to account, restored access.",1.0,TDX-10006,permission_issue,permission_issue,resolved
Cannot open project folder in department shared drive,Cause: Stale printer mapping and additional related setting. Fix: Removed and re-added the printer.,0.0,TDX-10006,permission_issue,permission_issue,resolved
Printer shows offline and jobs not printing.,"Cause: Local printer mapping stale. Fix: Removed and re-added the printer, test page printed successfully.",1.0,TDX-10007,printer_issue,printer_issue,resolved
Printer shows offline and jobs not printing.,Cause: Reset token was no longer valid. Fix: New reset email issued and old token removed.,0.0,TDX-10007,printer_issue,printer_issue,resolved
VPN connection fails after authentication.,"Cause: VPN profile expired. Fix: Updated the profile, and the connection completed successfully.",1.0,TDX-10009,vpn_issue,vpn_issue,resolved
VPN connection fails after authentication.,Cause: Reset token expired. Fix: Issued new reset email and removed expired token from account.,0.0,TDX-10009,vpn_issue,vpn_issue,resolved
Cannot connect to VPN from home,Cause: VPN profile expired. Fix: Received updated profile and reconnected.,1.0,TDX-10010,vpn_issue,vpn_issue,resolved
Cannot connect to VPN from home,Cause: Stale local credentials in Outlook. Fix: Cleared Outlook credential cache and re-added account.,0.0,TDX-10010,vpn_issue,vpn_issue,resolved
Cannot access shared team folder.,"Cause: Security group not applied. Fix: Applied required security group, restored access.",1.0,TDX-10012,permission_issue,permission_issue,resolved
Cannot access shared team folder.,"Cause: Outdated VPN profile. Fix: Updated profile and reconnected with it, successfully connected.",0.0,TDX-10012,permission_issue,permission_issue,resolved
