sentence1,sentence2,label,ticket_id,issue_category,ground_truth_primary_issue_category,ground_truth_resolution_state
Installer says no permission for approved software request.,"Cause: Application not targeted correctly. Fix: Assigned package properly, installation finished without errors.",1.0,TDX-10001,permission_issue,software_install,resolved
Installer says no permission for approved software request.,Cause: API response payload change from upstream broke downstream parser. Fix: Update downstream service to match upstream response format.,0.0,TDX-10001,permission_issue,software_install,resolved
Cannot join secure office wireless network,Cause: Machine certificate expired. Fix: Renewed device certificate and re-applied Wi-Fi profile.,1.0,TDX-10002,wifi_connectivity,wifi_connectivity,resolved
Cannot join secure office wireless network,Cause: API contract change. Fix: Roll forward client configuration to current API contract.,0.0,TDX-10002,wifi_connectivity,wifi_connectivity,resolved
Two-factor login failing on mobile app.,Cause: Device token out of sync with identity platform. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10004,mfa_issue,mfa_issue,resolved
Two-factor login failing on mobile app.,Cause: Stale local credentials in Outlook. Fix: Cleared credential cache and re-added account.,0.0,TDX-10004,mfa_issue,mfa_issue,resolved
MFA code not working after changing phones,Cause: Device token out of sync with identity platform. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10005,mfa_issue,mfa_issue,resolved
MFA code not working after changing phones,"Cause: Application not targeted correctly. Fix: Assigned package properly, installation finished without errors.",0.0,TDX-10005,mfa_issue,mfa_issue,resolved
Browser shows certificate warning or login loop,Cause: Stale site data in browser cache and cookies. Fix: Reset affected browser cache and cookies.,1.0,TDX-10006,browser_issue,browser_issue,resolved
Browser shows certificate warning or login loop,Cause: Previous token expired. Fix: Generated fresh password reset link.,0.0,TDX-10006,browser_issue,browser_issue,resolved
Recover deleted file from backup,Cause: File deleted and not recoverable via normal recycle bin. Fix: Restored from prior snapshot and placed back in shared folder.,1.0,TDX-10007,data_recovery,data_recovery,resolved
Recover deleted file from backup,Cause: Cached credentials issue. Fix: Clear cached credentials and sign in again.,0.0,TDX-10007,data_recovery,data_recovery,resolved
Previous version of shared document needed restoration.,Cause: Backup snapshots not used. Fix: Recovered copy from backup and placed back in shared folder.,1.0,TDX-10008,shared_drive_issue,data_recovery,resolved
Previous version of shared document needed restoration.,Cause: Proxy settings misconfigured. Fix: Reset old proxy configuration and reapply managed settings.,0.0,TDX-10008,shared_drive_issue,data_recovery,resolved
"Disk almost full, apps failing due to lack of space.","Cause: Local C drive cache and temp files oversized. Fix: Cleared local cache and temp files, restored free space.",1.0,TDX-10009,disk_space_full,disk_space_full,resolved
"Disk almost full, apps failing due to lack of space.",Cause: Repeated failed sign-ins. Fix: Account unlocked by IT support.,0.0,TDX-10009,disk_space_full,disk_space_full,resolved
Two-factor login failing on phone app,Cause: Device token out of sync with identity platform. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10010,mfa_issue,mfa_issue,resolved
Two-factor login failing on phone app,Cause: Previous token expired. Fix: Generated fresh password reset link.,0.0,TDX-10010,mfa_issue,mfa_issue,resolved
Production environment for internal app is unavailable.,Cause: Application service down. Fix: Restarted failed service and brought it back online.,1.0,TDX-10011,server_unavailable,server_unavailable,resolved
Production environment for internal app is unavailable.,"Cause: Application not targeted correctly. Fix: Assigned package properly, installation finished without errors.",0.0,TDX-10011,server_unavailable,server_unavailable,resolved
"Laptop C drive almost full, causing save failures and performance issues.","Cause: Local profile cache consuming excessive space. Fix: Cleaned profile cache and temporary files, freeing up enough space.",1.0,TDX-10012,disk_space_full,disk_space_full,resolved
"Laptop C drive almost full, causing save failures and performance issues.",Cause: Sender impersonation from outside. Fix: Quarantined message and blocked similar patterns.,0.0,TDX-10012,disk_space_full,disk_space_full,resolved
Printer unavailable from Jordan's computer,Cause: Local printer mapping stale. Fix: Clear queue and reinstall printer mapping.,1.0,TDX-10013,printer_issue,printer_issue,resolved
Printer unavailable from Jordan's computer,Cause: File deleted. Fix: Recovered copy from backup and placed back in shared folder.,0.0,TDX-10013,printer_issue,printer_issue,resolved
