sentence1,sentence2,label,ticket_id,issue_category,ground_truth_primary_issue_category,ground_truth_resolution_state
Installer says no permission for approved software request.,"Cause: Application not targeted correctly. Fix: Assigned package properly, installation finished without errors.",1.0,TDX-10001,permission_issue,software_install,resolved
Installer says no permission for approved software request.,Cause: Email matched known phishing pattern. Fix: Message removed from mailboxes.,0.0,TDX-10001,permission_issue,software_install,resolved
Cannot join secure office wireless network,Cause: Machine certificate expired. Fix: Renewed device certificate and re-applied Wi-Fi profile.,1.0,TDX-10002,network_issue,wifi_connectivity,resolved
Cannot join secure office wireless network,"Cause: Outlook credential cache was cleared and account re-added. Fix: Credential cache cleared, account re-added; mailbox loads correctly.",0.0,TDX-10002,network_issue,wifi_connectivity,resolved
Two-factor login failing on mobile app,Cause: Device token out of sync with identity platform. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10004,account_locked,mfa_issue,resolved
Two-factor login failing on mobile app,Cause: Local application cache corrupted. Fix: Reset local application cache.,0.0,TDX-10004,account_locked,mfa_issue,resolved
MFA code not working after changing phones,Cause: Device token out of sync with identity platform. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10005,password_reset,mfa_issue,resolved
MFA code not working after changing phones,Cause: Stale local credentials in Outlook. Fix: Cleared Outlook credential cache and re-added account.,0.0,TDX-10005,password_reset,mfa_issue,resolved
Restore deleted file from backup,Cause: File deleted and not recoverable via normal recycle bin. Fix: Recovered file from prior snapshot and placed back in shared folder.,1.0,TDX-10007,other,data_recovery,resolved
Restore deleted file from backup,Cause: MFA registration token drifted out of sync. Fix: Reset MFA enrollment and re-register authenticator app.,0.0,TDX-10007,other,data_recovery,resolved
"Disk almost full, apps failing due to lack of space.","Cause: Local C drive cache and temp files oversized. Fix: Cleared local cache and temp files, restored free space.",1.0,TDX-10009,network_issue,disk_space_full,resolved
"Disk almost full, apps failing due to lack of space.",Cause: previous token expired. Fix: issued new reset email and removed expired token.,0.0,TDX-10009,network_issue,disk_space_full,resolved
Two-factor login failing on phone app,Cause: Device token out of sync with identity platform. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10010,account_locked,mfa_issue,resolved
Two-factor login failing on phone app,Cause: Device compliance policy update issue. Fix: Resync device record and force policy evaluation.,0.0,TDX-10010,account_locked,mfa_issue,resolved
Production environment for internal app is unavailable.,Cause: Application service down. Fix: Restarted failed service and brought it back online.,1.0,TDX-10011,network_issue,server_unavailable,resolved
Production environment for internal app is unavailable.,"Cause: Account missing required security group. Fix: Added correct access group, resolved issue.",0.0,TDX-10011,network_issue,server_unavailable,resolved
Laptop storage almost full with save failures,"Cause: Local profile cache consuming excessive space. Fix: Cleaned profile cache and temporary files, freed up enough space.",1.0,TDX-10012,network_issue,disk_space_full,resolved
Laptop storage almost full with save failures,Cause: Endpoint not properly registered with call manager. Fix: Refreshing phone provisioning record.,0.0,TDX-10012,network_issue,disk_space_full,resolved
Printer unavailable from user's computer,Cause: Local printer mapping stale. Fix: Clear queue and reinstall printer mapping.,1.0,TDX-10013,printer_issue,printer_issue,resolved
Printer unavailable from user's computer,"Cause: Device not in approved install scope. Fix: Assign package properly to device, resulting in successful installation.",0.0,TDX-10013,printer_issue,printer_issue,resolved
Recover deleted file from backup,Cause: File deleted. Fix: Recovered copy from backup and placed back in shared folder.,1.0,TDX-10014,other,data_recovery,resolved
Recover deleted file from backup,Cause: Application not targeted correctly. Fix: Corrected deployment scope and install completed successfully.,0.0,TDX-10014,other,data_recovery,resolved
Two-factor login fails on phone app.,Cause: Device token out of sync with identity platform. Fix: Resync MFA token and verification prompt accepts code.,1.0,TDX-10015,account_locked,mfa_issue,resolved
Two-factor login fails on phone app.,Cause: Endpoint not properly registered with the call manager. Fix: Refreshing the phone provisioning record.,0.0,TDX-10015,account_locked,mfa_issue,resolved
Two-factor login failing on phone app.,Cause: Device token out of sync with identity platform. Fix: Reset MFA enrollment and re-register authenticator app.,1.0,TDX-10016,account_locked,mfa_issue,resolved
Two-factor login failing on phone app.,Cause: Outdated database credential. Fix: Updated application with current database secret.,0.0,TDX-10016,account_locked,mfa_issue,resolved
browser cannot reach external websites,Cause: proxy settings misconfigured. Fix: reset old proxy configuration and reapply managed settings.,1.0,TDX-10019,network_issue,internet_access,resolved
browser cannot reach external websites,Cause: File deleted. Fix: Recovered copy from backup and placed back in shared folder.,0.0,TDX-10019,network_issue,internet_access,resolved
Outlook desktop client keeps prompting for password,Cause: Cached credentials issue. Fix: Clear cached credentials and sign in again.,1.0,TDX-10020,email_issue,email_issue,resolved
Outlook desktop client keeps prompting for password,Cause: Previous token had expired. Fix: Generated fresh password reset link and it worked.,0.0,TDX-10020,email_issue,email_issue,resolved
"New hire missing email, VPN, and ERP app access",Cause: Provisioning task was queued. Fix: Reran provisioning task.,1.0,TDX-10021,account_locked,onboarding_offboarding,resolved
